TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
VITT3;10,23;2,23;13,21;2,95;1,66;36,15;17,65;13,58;10,16;11,84;1,68;0,49;1,79;4,97;-5,57;1,91;22,36;12,60;15,83;0,56;0,43;0,93;;;1.242.069,93;3,46;0,77;0,54;1.463.392.364,61
VIVA3;22,44;1,47;15,57;3,81;2,07;67,90;20,81;21,47;16,06;15,52;-0,53;-0,13;3,34;5,83;-5,40;2,35;24,45;13,28;17,05;0,54;0,46;0,62;;;21.343.592,52;5,90;1,44;0,10;5.300.277.936,36
VIVR3;0,64;;-1,38;-0,44;0,28;16,90;-112,00;-114,41;-1,41;-4,46;-3,04;;1,58;-0,46;-0,57;0,46;-31,55;-20,28;-216,30;-0,64;1,64;0,18;;;2.250.306,59;-1,47;-0,46;0,02;91.457.736,32
VIVT3;46,68;7,66;14,31;1,15;0,65;43,12;14,59;11,97;11,74;13,73;1,99;0,19;1,71;-10,05;-0,77;0,70;8,04;4,56;7,24;0,57;0,43;0,38;0,71;6,02;86.695.230,04;40,57;3,26;1,01;78.279.478.490,28
VLID3;10,72;2,71;18,99;0,77;0,30;24,98;7,70;2,04;5,02;9,61;4,58;0,71;0,39;2,02;-0,55;1,48;4,07;1,57;7,11;0,39;0,60;0,77;4,98;-12,01;2.521.580,19;13,88;0,56;-0,16;884.136.738,24
VULC3;13,18;2,66;8,86;2,14;1,48;35,86;17,39;15,96;8,13;8,62;0,49;0,13;1,41;3,45;-4,37;2,87;24,18;16,75;21,13;0,69;0,31;1,05;10,48;59,24;4.538.383,00;6,15;1,49;0,11;3.239.067.295,92
VVEO3;18,08;2,25;11,29;2,36;0,76;17,97;8,30;6,91;9,40;9,99;0,60;0,15;0,78;2,12;-2,21;2,20;20,87;6,72;12,62;0,32;0,68;0,97;;;2.360.122,26;7,67;1,60;0,05;5.173.110.348,80
WEGE3;29,79;1,58;35,28;9,32;4,83;27,88;15,77;13,25;29,64;29,58;-0,05;-0,02;4,67;17,47;-15,04;1,69;26,42;13,69;21,22;0,52;0,47;1,03;20,26;25,96;209.431.776,37;3,20;0,84;4,49;125.038.103.160,42
WEST3;2,55;;-8,64;0,75;0,60;43,98;-16,11;-10,12;-5,43;-1,81;3,61;-0,50;0,87;1,06;-1,91;5,97;-8,71;-6,98;-14,46;0,80;0,20;0,69;;;604.449,37;3,39;-0,30;-0,01;281.212.271,10
WIZS3;8,33;7,06;8,23;3,81;0,70;59,67;40,34;20,07;4,09;4,27;0,18;0,16;1,65;-26,49;-0,82;0,84;46,25;8,50;21,78;0,18;0,55;0,42;15,13;2,22;5.936.459,00;2,19;1,01;-0,38;1.332.027.659,06
YDUQ3;15,05;0,84;24,36;1,42;0,46;55,33;13,49;4,24;7,66;13,96;6,30;1,17;1,03;3,54;-0,65;1,84;5,82;1,90;6,22;0,33;0,67;0,45;6,64;-12,30;51.241.869,67;10,61;0,62;-0,03;4.670.332.538,61
